"id","n_features","file_bytes"
"11334",22,9799
"11335",22,9376
"11336",22,8682
"11337",22,9125
"11338",22,8923
"11339",22,8762
"11340",22,8798
"11341",22,9514
"11507",22,42265
"11542",22,9286
"11543",22,8341
"11544",22,7894
"11545",22,7797
"11546",22,8596
"11547",22,7998
"11548",22,8640
"11549",22,9387
"11550",22,8228
"11551",22,10023
"11552",22,9900
"11553",22,9210
"11554",22,9027
"11555",22,8466
"11556",22,8874
"11557",22,8785
"11558",22,8469
"11561",22,9172
"11760",22,10369
"11761",22,9111
"11762",22,9573
"11763",22,8707
"11764",22,7878
"11765",22,9323
"11766",22,9165
"11767",22,8300
"11768",22,9012
"11769",22,9315
"11770",22,10026
"11771",22,9222
"11772",22,8963
"11773",22,8752
"11774",22,8465
"11776",22,8017
"11777",22,9460
"11778",22,8540
"11940",22,36956
"11949",22,33677
"11950",22,36691
"11979",22,9466
"11980",22,9387
"11981",22,8723
"11982",22,10109
"11983",22,8504
"11984",22,9956
"11985",22,10805
"11986",22,10493
"11987",22,9180
"11988",22,9173
"11989",22,9119
"11990",22,9263
"11992",22,9147
"11993",22,9817
"11994",22,9249
"11995",22,7805
"11996",22,8316
"11997",22,9123
"11998",22,8738
"12159",22,36726
"12169",22,33834
"12170",22,35259
"12171",22,32803
"12196",22,11917
"12197",22,11653
"12198",22,10397
"12199",22,9668
"12200",22,10551
"12201",22,9487
"12202",22,8511
"12203",22,9291
"12204",22,11078
"12205",22,9572
"12206",22,8851
"12207",22,9587
"12208",22,9711
"12210",22,9184
"12211",22,8006
"12212",22,7684
"12213",22,8315
"12214",22,8012
"12215",22,7736
"12216",22,8672
"12217",22,9064
"12232",22,11128
"12377",22,36886
"12378",22,35214
"12388",22,32518
"12389",22,33230
"12390",22,33598
"12414",22,11870
"12415",22,12565
"12416",22,12375
"12417",22,11075
"12418",22,9346
"12419",22,8798
"12420",22,9442
"12421",22,8378
"12422",22,9423
"12423",22,8199
"12424",22,8640
"12425",22,9454
"12426",22,11456
"12429",22,7698
"12430",22,8096
"12431",22,8748
"12432",22,8208
"12433",22,7931
"12434",22,8795
"12435",22,8757
"12436",22,10409
"12444",22,9886
"12445",22,9845
"12446",22,9988
"12447",22,9733
"12448",22,9681
"12449",22,10233
"12450",22,9935
"12451",22,10675
"12596",22,36744
"12597",22,35942
"12598",22,36476
"12599",22,36407
"1260",21,51085
"12606",22,32026
"12607",22,30105
"12608",22,35070
"12628",22,15167
"12633",22,13239
"12634",22,10575
"12635",22,11432
"12636",22,9945
"12638",22,9621
"12639",22,8768
"12640",22,8041
"12641",22,10250
"12642",22,8105
"12643",22,11017
"12644",22,11463
"12645",22,10711
"12646",22,9631
"12647",22,10208
"12648",22,8533
"12649",22,8059
"12650",22,8152
"12651",22,7536
"12652",22,7775
"12653",22,7704
"12654",22,9401
"12659",22,9016
"12660",22,8990
"12661",22,9406
"12662",22,9919
"12663",22,8744
"12664",22,8890
"12665",22,10942
"12666",22,9067
"12667",22,10360
"12668",22,10932
"12669",22,11092
"12670",22,11235
"12815",22,35796
"12816",22,35290
